Scala Farbton;C;M;Y;K;HBW;RAL
33.06.09;0;10;10;10;66,0;
33.06.12;0;10;10;20;57,1;
33.06.15;20;25;25;15;45,4;
33.06.17;5;15;15;40;39,7;
33.06.18;5;20;20;45;35,5;
33.06.21;15;25;25;45;31,4;
33.06.24;10;25;20;60;20,9;
33.06.27;5;30;15;70;14,1;
33.06.30;10;35;10;90;9,4;
33.09.12;0;15;10;5;66,8;
33.09.13;5;25;15;10;56,8;
33.09.15;0;25;15;20;47,0;
33.09.16;0;20;15;35;40,6;
33.09.17;25;40;35;20;33,4;
33.09.18;5;35;20;50;26,3;
33.09.21;0;45;20;50;23,1;
33.09.24;35;70;45;45;14,6;
33.09.27;15;70;30;70;8,9;
33.09.30;70;100;90;35;6,6;
33.12.06;0;10;10;0;78,2;
33.12.09;0;20;10;5;65,2;
33.12.12;0;30;15;5;56,8;
33.12.15;5;45;25;5;44,7;RAL 3015
33.12.17;0;45;20;25;36,7;
33.12.18;5;50;25;25;31,3;
33.12.21;35;70;40;10;22,1;
33.12.24;10;70;30;50;16,2;
33.12.27;0;80;15;70;9,4;
33.12.30;35;90;25;80;6,1;
33.15.21;0;70;25;35;21,8;
33.15.24;30;90;60;35;12,4;RAL 4002
33.15.27;45;100;60;50;7,3;RAL 4004
33.18.24;20;100;70;5;14,5;
33.18.27;10;100;60;50;9,1;
36.03.03;0;5;5;0;83,1;
36.03.06;5;10;10;0;76,3;
36.03.09;5;10;10;10;65,8;
36.03.12;15;20;20;10;53,0;
36.03.15;25;30;25;5;46,0;
36.03.18;20;30;25;40;31,3;
36.03.21;10;20;15;60;21,5;
36.03.24;35;45;30;60;14,4;
36.03.27;20;35;10;80;9,5;
36.03.30;45;50;35;90;6,5;
36.06.03;0;5;5;0;84,6;
36.06.06;5;15;10;0;75,9;
36.06.09;5;20;10;0;66,5;
36.06.12;5;25;10;5;58,1;
36.06.15;10;35;15;15;45,4;
36.06.18;0;40;10;40;31,7;
36.06.21;10;45;15;50;21,7;
36.06.24;15;50;15;60;14,6;
36.06.27;60;80;60;45;9,5;
36.06.30;50;80;40;70;6,4;
36.06.33;70;90;60;70;5,6;
36.09.06;0;20;5;0;73,1;
36.09.09;0;30;5;0;65,6;
36.09.12;0;45;5;0;56,3;
36.09.15;0;60;5;0;44,3;
36.09.18;10;60;15;15;32,2;
36.09.21;10;70;10;25;22,4;
36.09.24;15;80;15;45;14,4;
36.09.27;20;80;15;60;9,2;
36.09.30;40;90;20;70;5,7;
36.09.33;35;80;10;80;6,3;RAL 4007
36.09.36;40;90;20;90;4,8;
36.12.21;10;80;15;5;24,8;RAL 4003
36.12.24;0;90;0;45;14,8;
36.12.27;50;100;45;15;10,0;
36.15.21;5;90;15;15;18,9;RAL 4010
36.15.24;0;90;5;35;14,1;
36.15.27;10;90;25;50;9,9;
39.06.06;0;10;5;5;75,7;
39.06.09;0;10;5;10;68,4;
39.06.12;15;20;15;0;58,6;
39.06.15;25;30;20;10;45,5;
39.06.18;25;30;25;30;31,0;
39.06.21;0;20;5;60;22,5;
39.06.24;60;70;60;15;15,1;
39.06.27;25;45;5;80;9,3;
39.06.30;45;45;45;80;6,8;RAL 8019
39.09.09;0;15;5;5;67,2;
39.09.12;0;20;5;15;57,2;
39.09.15;20;35;15;10;45,3;
39.09.18;10;35;10;40;32,3;
39.09.21;35;45;35;20;27,8;RAL 4009
39.09.24;50;70;40;25;15,2;
39.09.27;45;80;30;60;8,7;
39.12.09;0;25;5;0;67,3;
39.12.12;10;35;10;0;56,2;
39.12.15;10;45;5;10;43,0;
39.12.18;5;45;0;20;33,0;
39.12.21;5;50;0;50;21,9;
39.12.24;25;60;15;50;14,6;
39.12.27;60;90;40;35;8,9;
39.15.09;0;15;5;0;76,7;
39.15.12;0;40;0;0;54,9;
39.15.15;5;50;0;0;44,4;
39.15.18;15;70;5;0;32,3;
39.15.21;25;70;15;15;23,0;
39.15.24;35;80;20;35;14,0;
39.15.27;45;90;30;40;10,2;
39.15.30;80;100;60;40;5,9;
39.18.21;20;80;0;5;23,1;
39.18.24;25;90;0;25;12,8;RAL 4006
42.03.03;0;0;5;5;82,0;
42.03.06;5;5;10;5;72,9;
42.03.09;10;10;15;5;66,5;
42.03.12;10;10;15;15;58,8;
42.03.15;20;20;25;20;42,8;
42.03.18;30;25;35;30;32,1;RAL 7036
42.03.21;0;5;10;60;24,5;
42.03.24;0;5;10;70;19,7;
42.03.27;50;45;50;45;15,7;
42.03.30;40;45;40;70;10,8;
42.06.03;0;0;5;5;83,5;
42.06.06;0;5;5;5;77,0;
42.06.09;0;10;5;10;65,2;
42.06.12;10;15;10;10;57,8;
42.06.15;20;25;20;15;45,7;
42.06.18;30;35;25;20;32,8;
42.06.21;30;40;30;45;23,2;
42.06.24;30;40;25;60;15,3;
42.06.27;20;40;0;80;10,4;
42.09.18;20;35;15;50;31,4;
42.09.21;35;50;20;30;21,9;
42.09.24;50;60;35;35;15,0;
42.09.27;60;70;35;50;9,4;
42.12.06;0;15;0;0;76,4;
42.12.09;5;25;5;0;66,8;
42.12.12;5;30;5;5;57,1;
42.12.15;20;45;10;0;44,6;
42.12.18;10;40;0;25;32,3;
42.12.21;40;60;20;15;22,0;
42.12.24;35;60;5;40;17,6;RAL 4001
42.15.15;15;50;5;0;44,9;
